framework,iteration,reward_mean,reward_std,reward_rolling
eqmarl,0,-0.9,1.8138357147217055,
eqmarl,1,-0.8,2.181742422927143,
eqmarl,2,-0.5,1.857417562100671,
eqmarl,3,-1.3,1.4177446878757827,
eqmarl,4,0.7,1.5524174696260022,
eqmarl,5,0.6,3.583294573433783,
eqmarl,6,-0.5,2.29128784747792,
eqmarl,7,0.9,2.662705391138869,
eqmarl,8,0.7,2.238302928559939,
eqmarl,9,-0.1,2.3853720883753127,-0.12
eqmarl,10,-0.4,1.9078784028338913,-0.07
eqmarl,11,0.4,3.006659275674582,0.049999999999999996
eqmarl,12,1.1,1.5779733838059502,0.21
eqmarl,13,-0.5,1.6881943016134133,0.29
eqmarl,14,0.2,1.7776388834631178,0.24000000000000005
eqmarl,15,1.1,1.972308292331602,0.29000000000000004
eqmarl,16,2.3,2.238302928559939,0.5700000000000001
eqmarl,17,-0.4,1.907878402833891,0.43999999999999995
eqmarl,18,1.1,2.5475478405713994,0.48
eqmarl,19,1.8,2.0396078054371136,0.67
eqmarl,20,0.3,1.9000000000000001,0.7400000000000001
eqmarl,21,-0.8,2.1354156504062622,0.6200000000000001
eqmarl,22,1.4,1.624807680927192,0.65
eqmarl,23,-0.8,2.5219040425836985,0.6200000000000001
eqmarl,24,0.5,1.8027756377319946,0.6500000000000001
eqmarl,25,0.4,1.9078784028338913,0.58
eqmarl,26,0.6,1.9078784028338913,0.41
eqmarl,27,1.9,2.1656407827707715,0.64
eqmarl,28,0.7,2.491987158875423,0.6
eqmarl,29,1.5,3.3541019662496847,0.5700000000000001
eqmarl,30,0.5,2.8722813232690143,0.5900000000000001
eqmarl,31,2.2,2.4819347291981715,0.8900000000000001
eqmarl,32,-0.9,2.071231517720798,0.66
eqmarl,33,0.4,2.2891046284519194,0.7800000000000001
eqmarl,34,0.3,1.8466185312619385,0.7600000000000001
eqmarl,35,0.8,1.661324772583615,0.8
eqmarl,36,1.5,1.6278820596099706,0.8900000000000002
eqmarl,37,0.6,1.2,0.76
eqmarl,38,0.5,1.6278820596099706,0.7400000000000002
eqmarl,39,0.4,2.2891046284519194,0.6300000000000001
eqmarl,40,0.1,2.7367864366808017,0.5900000000000001
eqmarl,41,-0.2,2.227105745132009,0.35
eqmarl,42,0.2,2.227105745132009,0.4600000000000001
eqmarl,43,1.6,2.4979991993593593,0.5800000000000001
eqmarl,44,1.7,1.7349351572897471,0.7200000000000001
eqmarl,45,1.6,2.9393876913398143,0.8000000000000002
eqmarl,46,1.4,2.0591260281974,0.7900000000000001
eqmarl,47,1.3,1.1874342087037917,0.8600000000000001
eqmarl,48,1.7,2.968164415931166,0.9800000000000001
eqmarl,49,0.1,2.1656407827707715,0.9500000000000002
eqmarl,50,0.6,0.9165151389911681,1.0000000000000002
eqmarl,51,1.1,3.176476034853718,1.1300000000000003
eqmarl,52,0.9,3.5902646142032486,1.2000000000000004
eqmarl,53,0.9,2.7,1.1300000000000001
eqmarl,54,-0.2,1.7776388834631178,0.9400000000000001
eqmarl,55,1.4,1.7435595774162693,0.9199999999999999
eqmarl,56,0.7,1.1874342087037917,0.85
eqmarl,57,0.7,1.345362404707371,0.7899999999999999
