network_seed,quantum_target_iteration,classical_target_iteration,quantum_target_steps,classical_target_steps,quantum_time_s,classical_time_s,speedup_classical_over_quantum,quantum_favorable,agents,entanglement_rate_hz,p_success,base_latency_s,distance_km,memory_t2_s,quantum_channel_capacity,quantum_environment_steps,quantum_training_iterations,quantum_simulated_wall_time_s,quantum_compute_time_s,quantum_entanglement_generation_time_s,quantum_quantum_transmission_time_s,quantum_classical_communication_time_s,quantum_classical_bytes_transmitted,quantum_qubits_transmitted,quantum_entangled_states_generated,quantum_entangled_pairs_generated,quantum_entangled_resources_successfully_used,quantum_failed_quantum_transmissions,quantum_retries,quantum_states_discarded_memory_expiration,quantum_quantum_link_busy_time_s,quantum_quantum_link_utilization,quantum_usable,classical_environment_steps,classical_training_iterations,classical_simulated_wall_time_s,classical_compute_time_s,classical_entanglement_generation_time_s,classical_quantum_transmission_time_s,classical_classical_communication_time_s,classical_classical_bytes_transmitted,classical_qubits_transmitted,classical_entangled_states_generated,classical_entangled_pairs_generated,classical_entangled_resources_successfully_used,classical_failed_quantum_transmissions,classical_retries,classical_states_discarded_memory_expiration,classical_quantum_link_busy_time_s,classical_quantum_link_utilization,classical_usable
101,482,1581,24150,79100,212210.346689856,838.7080576,0.003952248656498197,False,2,10,0.55,0.00025,10.0,1.0,8,24150,483,212210.346689856,253.57500000000002,210910.9,205.9944,839.8772898560001,176361232,5493176,2109109,2109109,193200,2472685,1915909,0,205.9944,0.0009707085597530239,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
202,482,1581,24150,79100,213370.32409459198,838.7080576,0.003930762448615776,False,2,10,0.55,0.00025,10.0,1.0,8,24150,483,213370.32409459198,253.57500000000002,212065.3,207.1083,844.3407945920001,177311824,5522882,2120653,2120653,193200,2486506,1927453,0,207.1083,0.0009706518508552489,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
303,482,1581,24150,79100,212232.91311667202,838.7080576,0.003951828419463536,False,2,10,0.55,0.00025,10.0,1.0,8,24150,483,212232.91311667202,253.57500000000002,210933.3,206.02770000000004,840.010416672,176389584,5494062,2109333,2109333,193200,2472089,1916133,0,206.02770000000004,0.0009707622487693002,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
101,482,1581,24150,79100,81143.726403584,838.7080576,0.010336080123169639,False,2,10,0.7,0.00025,10.0,1.0,8,24150,483,81143.726403584,253.57500000000002,80425.8,89.84880000000001,374.50260358400004,77250448,2395964,804258,804258,193200,719181,611058,0,89.84880000000001,0.0011072796873182733,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
202,482,1581,24150,79100,81518.13253868799,838.7080576,0.010288607350051283,False,2,10,0.7,0.00025,10.0,1.0,8,24150,483,81518.13253868799,253.57500000000002,80798.2,90.24960000000002,376.10793868800005,77592336,2406648,807982,807982,193200,722988,614782,0,90.24960000000002,0.0011071107395298602,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
303,482,1581,24150,79100,81154.11772800001,838.7080576,0.01033475664674285,False,2,10,0.7,0.00025,10.0,1.0,8,24150,483,81154.11772800001,253.57500000000002,80436.1,89.86710000000001,374.57562800000005,77266000,2396450,804361,804361,193200,718858,611161,0,89.86710000000001,0.0011073634033112508,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
101,482,1581,24150,79100,37523.903261024,838.7080576,0.022351301029793567,False,2,10,0.85,0.00025,10.0,1.0,8,24150,483,37523.903261024,253.57500000000002,37016.5,47.801700000000004,206.026561024,41370128,1274704,370165,370165,193200,191438,176965,0,47.801700000000004,0.0012738999902936943,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
202,482,1581,24150,79100,37634.874075968,838.7080576,0.022285395612245785,False,2,10,0.85,0.00025,10.0,1.0,8,24150,483,37634.874075968,253.57500000000002,37126.8,47.935500000000005,206.563575968,41484496,1278278,371268,371268,193200,192388,178068,0,47.935500000000005,0.0012736989607893903,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
303,482,1581,24150,79100,37528.75132656,838.7080576,0.022348413628311317,False,2,10,0.85,0.00025,10.0,1.0,8,24150,483,37528.75132656,253.57500000000002,37021.3,47.8113,206.06502656000004,41378320,1274960,370213,370213,193200,191310,177013,0,47.8113,0.0012739912283242635,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
101,482,1581,24150,79100,24168.141506496,838.7080576,0.034703043151852166,False,2,10,0.95,0.00025,10.0,1.0,8,24150,483,24168.141506496,253.57500000000002,23730.6,33.8484,150.118106496,29463312,902616,237306,237306,193200,45318,44106,0,33.8484,0.0014005379764473037,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
